YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,WS50M_RANGE,WD50M,PS,WS10M,WS10M_RANGE,WD10M,WS50M
1990,2,2,12.37,9.58,10.98,12.43,4.99,15.11,10.12,7.39,83.38,2.01,5.3,295.88,101.47,6.22,4.61,295.38,8.55
1990,2,3,13.07,9.42,11.25,13.01,8.64,18.15,9.51,7.26,79.62,0.26,5.05,218.56,101.99,2.41,2.98,219.75,3.48
1990,2,4,12.04,7.98,10.01,12.05,12.14,19.3,7.15,6.59,79.75,0.0,3.67,143.31,102.14,2.81,1.54,142.5,3.92
1990,2,5,12.83,10.28,11.56,12.7,8.41,18.04,9.63,7.63,84.94,0.0,4.77,122.38,102.28,3.2,2.59,121.88,4.63
1990,2,6,12.67,9.23,10.94,12.92,11.12,19.73,8.61,7.14,81.94,0.0,3.55,156.25,101.8,4.2,3.47,155.25,6.07
1990,2,7,13.23,11.24,12.23,13.53,9.92,18.82,8.9,8.18,86.0,0.01,4.51,279.0,101.74,3.38,3.6,280.0,4.8
1990,2,8,13.12,9.18,11.15,13.22,6.83,17.43,10.6,7.14,78.38,0.01,4.62,134.81,102.05,2.13,3.74,135.12,2.73
1990,2,9,13.51,10.16,11.84,13.48,9.49,18.48,8.99,7.63,81.12,0.04,9.52,295.31,101.86,6.12,7.83,294.62,8.12
1990,2,10,13.4,7.76,10.58,13.33,7.22,17.32,10.1,6.53,70.69,1.23,8.06,250.44,101.7,4.49,5.56,249.94,6.12
1990,2,11,12.0,8.26,10.12,11.88,11.7,18.16,6.46,6.84,79.31,0.68,7.91,234.31,101.2,4.87,6.23,233.62,6.84
1990,2,12,13.18,9.87,11.52,13.19,7.84,17.9,10.05,7.57,81.69,0.47,11.18,268.06,100.5,7.87,10.39,267.25,10.84
1990,2,13,15.48,11.8,13.64,15.46,6.82,19.32,12.49,8.61,79.75,0.26,5.46,281.31,100.5,10.45,4.91,280.12,13.68
1990,2,14,15.65,10.7,13.18,15.55,7.77,20.76,12.98,8.0,74.62,0.0,5.16,277.12,100.83,9.96,3.76,276.25,12.98
1990,2,15,15.44,9.28,12.36,15.35,8.62,20.51,11.88,7.32,69.5,0.0,3.53,282.56,100.66,9.1,2.41,281.5,12.02
1990,2,16,15.64,11.23,13.44,15.4,6.43,19.33,12.89,8.3,76.25,0.0,4.91,293.31,100.77,7.45,4.16,292.25,10.17
1990,2,17,15.07,11.19,13.12,14.9,9.04,20.7,11.66,8.24,79.62,0.0,5.73,301.5,101.12,4.05,3.46,301.75,5.92
1990,2,18,15.3,10.36,12.83,14.79,13.3,23.37,10.08,7.81,76.0,0.0,6.28,178.31,101.38,3.24,3.33,177.56,4.8
1990,2,19,14.94,10.41,12.68,15.09,13.95,22.99,9.04,7.93,78.31,0.0,4.21,145.06,101.65,3.8,1.52,143.44,5.88
1990,2,20,14.2,11.33,12.76,14.17,10.4,20.37,9.98,8.24,81.56,0.0,4.36,131.69,102.12,3.9,2.83,130.75,5.62
1990,2,21,13.65,9.18,11.41,13.57,12.09,20.35,8.26,7.14,75.81,0.0,5.12,135.81,102.31,3.03,3.71,135.0,4.3
1990,2,22,13.01,10.05,11.53,13.22,7.73,17.07,9.33,7.51,82.31,0.0,6.48,249.44,102.51,3.96,5.78,249.62,5.21
1990,2,23,14.32,10.64,12.48,14.85,9.37,19.76,10.4,7.81,80.0,0.0,2.02,339.81,102.68,3.43,1.55,339.88,4.88
1990,2,24,13.55,10.4,11.98,13.62,11.18,20.08,8.9,7.75,81.0,0.0,3.41,277.06,102.49,3.31,2.76,277.62,4.38
1990,2,25,13.5,8.0,10.75,13.73,14.04,21.5,7.46,6.65,73.62,0.0,4.87,179.94,102.0,2.52,2.54,177.62,3.63
1990,2,26,14.53,8.17,11.35,14.56,14.74,22.65,7.9,6.84,71.88,0.0,5.59,273.75,101.79,4.5,4.41,273.75,6.37
1990,2,27,15.54,11.26,13.4,15.9,8.61,20.58,11.97,8.24,78.38,0.0,4.8,284.44,101.47,7.95,4.41,284.06,10.43
1990,2,28,16.24,11.44,13.84,16.35,9.23,21.05,11.81,8.36,75.69,0.0,7.05,290.94,101.24,8.45,6.68,290.69,11.21
1990,3,1,16.01,10.54,13.28,16.05,14.53,24.76,10.23,8.0,74.81,0.0,3.38,282.94,101.04,4.59,3.16,283.19,6.91
1990,3,2,14.3,8.94,11.62,14.65,9.25,19.41,10.16,7.14,71.81,0.01,4.36,333.81,101.35,4.64,4.35,333.75,6.53
1990,3,3,13.51,5.2,9.36,13.73,4.84,16.01,11.17,5.43,57.69,0.03,2.68,141.88,102.09,5.79,1.72,141.5,8.02
1990,3,4,12.69,6.33,9.51,12.99,7.59,16.09,8.51,5.86,65.62,1.48,4.13,47.38,102.65,6.48,4.98,46.81,8.88
1990,3,5,11.26,4.22,7.73,12.15,9.12,16.39,7.26,5.07,64.06,0.0,3.35,49.25,102.58,3.47,2.2,48.38,4.7
1990,3,6,10.44,6.83,8.63,11.04,4.6,12.82,8.21,6.04,78.5,2.44,3.91,113.38,102.22,2.32,3.28,84.06,3.08
1990,3,7,11.27,3.94,7.61,11.23,11.58,17.71,6.13,5.0,64.62,0.0,3.74,207.56,102.12,2.09,2.35,194.19,2.71
1990,3,8,13.82,7.21,10.51,13.79,15.64,21.8,6.15,6.29,69.25,0.0,5.76,151.25,102.18,5.1,4.43,150.31,6.95
1990,3,9,14.68,11.01,12.84,14.93,11.09,20.98,9.89,8.06,80.06,0.8,8.29,248.69,102.13,5.74,5.77,247.5,7.7
1990,3,10,15.16,10.81,12.99,15.62,8.14,19.07,10.93,7.87,76.44,0.01,5.66,308.56,102.61,8.09,5.59,308.38,10.6
1990,3,11,14.89,9.29,12.09,15.12,13.2,22.55,9.34,7.2,73.12,0.0,7.28,293.81,102.65,3.36,4.3,295.62,4.95
1990,3,12,15.77,8.45,12.11,15.66,14.23,24.11,9.89,6.9,67.38,0.0,5.41,159.12,101.89,1.7,3.43,146.62,2.26
1990,3,13,15.59,9.76,12.68,15.93,9.42,21.01,11.59,7.57,73.19,0.0,5.25,306.56,101.68,4.77,4.78,307.38,6.87
1990,3,14,15.38,12.08,13.73,15.8,9.91,21.04,11.12,8.67,81.25,0.51,3.98,301.69,101.79,4.15,4.0,302.5,6.13
1990,3,15,15.29,11.34,13.31,15.94,7.76,19.61,11.86,8.24,79.0,0.95,3.52,231.06,101.99,2.64,1.98,217.0,3.96
1990,3,16,15.35,11.3,13.33,15.54,7.59,19.46,11.87,8.24,78.94,1.42,4.55,93.5,102.19,3.18,2.9,92.94,4.42
1990,3,17,14.17,11.48,12.83,14.06,5.75,17.41,11.66,8.24,84.88,13.08,3.57,98.88,102.47,3.36,2.46,97.94,4.8
1990,3,18,14.51,10.66,12.58,14.73,9.53,19.74,10.21,7.81,80.0,0.74,3.5,138.44,102.71,4.35,3.34,137.94,6.25
1990,3,19,15.04,9.74,12.39,15.63,12.47,21.59,9.12,7.39,73.62,0.43,5.02,139.88,102.49,3.83,3.3,138.06,5.59
1990,3,20,12.92,10.76,11.84,13.42,5.34,16.13,10.8,7.87,87.19,8.32,4.23,194.44,102.24,3.75,3.92,194.06,5.3
1990,3,21,13.76,8.92,11.34,14.07,9.77,19.44,9.66,7.08,75.19,0.0,2.97,316.06,102.15,5.31,3.93,316.5,7.4
1990,3,22,14.19,9.15,11.67,14.48,12.4,20.79,8.39,7.2,74.38,0.0,4.83,228.62,101.86,3.04,2.86,214.44,4.04
1990,3,23,15.08,7.27,11.17,14.89,14.93,22.65,7.72,6.41,65.25,0.0,3.48,237.94,101.63,2.53,2.3,240.0,3.34
1990,3,24,17.13,7.73,12.43,16.55,12.55,24.5,11.94,6.59,58.38,0.0,5.84,171.38,101.39,2.45,2.91,169.62,3.75
1990,3,25,16.78,12.51,14.65,16.97,9.31,22.44,13.12,9.03,78.81,0.91,4.03,304.12,101.2,3.51,2.83,303.5,5.35
1990,3,26,13.87,7.87,10.87,15.01,8.38,18.42,10.04,6.65,69.38,2.49,3.55,320.25,100.92,6.12,2.52,320.69,7.69
1990,3,27,12.16,5.72,8.94,13.09,7.44,16.51,9.07,5.68,66.44,1.16,2.66,289.44,100.93,7.31,3.63,288.94,9.63
1990,3,28,11.98,5.2,8.59,12.94,7.7,16.3,8.61,5.49,65.75,0.56,3.16,284.38,101.29,5.31,3.91,284.5,7.45
1990,3,29,12.02,6.05,9.03,12.92,9.33,17.02,7.69,5.8,69.81,0.16,3.53,291.94,101.52,4.66,2.84,292.19,6.53
1990,3,30,12.8,6.26,9.53,12.85,6.3,16.08,9.78,5.86,65.38,0.25,5.16,182.0,101.73,2.2,3.38,180.31,3.07
1990,3,31,13.31,8.05,10.68,13.62,7.59,17.51,9.92,6.59,71.88,0.32,2.68,83.12,101.94,4.15,2.8,82.0,5.64
1990,4,1,14.35,9.69,12.01,14.73,10.71,19.63,8.91,7.39,76.0,1.23,6.92,132.88,101.71,6.49,6.41,132.56,8.36
1990,4,2,14.83,12.11,13.47,14.76,5.52,18.22,12.69,8.73,84.38,9.5,7.67,175.81,100.95,3.5,5.61,177.12,4.53
1990,4,3,14.58,10.3,12.44,14.65,7.7,18.62,10.91,7.81,77.31,0.91,4.7,288.44,100.62,2.95,2.45,290.0,4.47
1990,4,4,15.33,10.25,12.79,16.29,12.23,21.79,9.56,7.75,74.75,0.0,5.46,220.12,100.86,3.68,2.62,222.38,5.55
1990,4,5,17.19,11.68,14.44,17.55,12.95,24.43,11.48,8.54,73.44,5.6,4.78,162.31,100.6,5.21,3.38,160.81,7.11
1990,4,6,18.77,12.71,15.74,18.63,15.31,28.63,13.32,9.22,72.25,0.0,6.4,199.5,99.76,5.62,5.77,198.31,7.58
1990,4,7,17.33,10.74,14.04,17.68,12.2,24.17,11.98,8.12,69.94,0.79,7.16,236.81,100.5,3.87,5.58,238.38,5.36
1990,4,8,18.62,14.03,16.32,18.69,14.4,27.48,13.08,10.01,77.62,1.01,6.45,188.75,100.2,2.52,4.0,190.75,3.8
1990,4,9,17.45,11.68,14.56,18.01,12.29,25.41,13.12,8.67,72.25,0.98,17.4,266.56,99.69,6.08,13.8,266.38,8.27
1990,4,10,14.86,9.84,12.35,15.27,4.33,17.61,13.28,7.63,72.75,2.05,5.92,289.94,99.76,9.27,5.02,289.5,11.95
1990,4,11,15.05,7.06,11.06,15.89,4.88,18.21,13.33,6.29,59.94,0.79,3.0,298.25,100.48,10.13,3.01,297.94,12.85
1990,4,12,15.08,9.27,12.18,15.6,6.06,18.9,12.83,7.26,69.44,3.81,4.29,293.88,100.48,10.69,4.16,293.19,13.7
1990,4,13,15.51,8.62,12.06,16.52,8.59,20.35,11.76,6.96,66.19,0.31,7.41,253.12,101.04,4.46,5.55,254.75,5.8
1990,4,14,17.05,9.91,13.48,17.55,14.65,24.49,9.83,7.57,67.69,1.09,5.14,215.94,100.99,3.71,4.82,215.38,5.48
1990,4,15,15.61,9.27,12.44,16.43,7.12,19.6,12.49,7.32,69.25,0.93,2.29,292.69,101.2,6.48,3.8,293.12,8.62
1990,4,16,14.8,7.39,11.09,15.63,6.67,18.73,12.06,6.41,63.62,0.54,6.65,292.75,101.2,8.85,7.46,292.5,11.52
1990,4,17,14.47,7.33,10.9,15.37,7.57,18.56,10.98,6.35,63.56,0.01,4.66,314.06,101.49,7.38,5.63,314.12,9.83
1990,4,18,13.5,7.85,10.68,14.26,8.09,17.81,9.73,6.59,70.69,1.28,5.05,286.88,101.45,5.38,5.34,287.38,7.19
1990,4,19,12.77,5.97,9.37,13.49,8.67,17.39,8.73,5.86,66.12,1.89,9.84,275.31,100.9,7.62,8.98,274.94,10.07
1990,4,20,14.86,7.37,11.12,15.77,13.59,23.01,9.42,6.47,65.75,0.12,5.91,246.5,100.26,5.52,5.6,247.25,7.38
1990,4,21,15.05,9.64,12.34,16.45,11.41,21.23,9.82,7.51,72.69,0.02,4.62,57.62,100.16,3.52,3.42,55.5,4.63
1990,4,22,15.69,12.26,13.98,16.13,8.43,19.86,11.43,8.91,80.75,0.39,7.75,258.19,100.26,4.7,6.48,258.31,5.89
1990,4,23,15.14,8.05,11.59,16.55,9.96,20.38,10.42,6.71,66.12,1.2,6.12,217.31,100.8,3.83,4.34,218.94,5.0
1990,4,24,13.86,9.02,11.44,14.54,6.1,17.25,11.15,7.14,73.31,4.65,5.03,121.19,100.87,2.93,4.45,121.75,3.78
1990,4,25,13.4,11.16,12.28,13.58,4.2,15.28,11.08,8.24,86.44,22.47,3.32,59.81,100.85,4.08,3.97,59.12,5.46
1990,4,26,14.87,9.3,12.09,15.6,9.41,19.91,10.5,7.26,72.69,0.01,2.45,334.69,101.35,4.45,2.95,335.31,6.27
1990,4,27,15.43,9.15,12.29,16.1,11.48,21.66,10.19,7.2,70.69,0.0,3.68,327.12,101.69,3.54,2.83,328.12,4.78
1990,4,28,16.78,9.42,13.1,17.21,13.98,24.57,10.59,7.32,67.56,0.0,5.08,174.62,101.5,2.35,2.77,171.06,3.27
1990,4,29,18.27,10.18,14.23,18.6,11.52,24.71,13.19,7.81,64.75,0.08,5.49,135.06,100.98,4.9,3.75,133.38,6.73
1990,4,30,14.83,11.24,13.04,15.05,3.25,16.44,13.19,8.24,79.31,17.34,4.09,111.38,101.17,7.29,4.98,110.5,9.5
1990,5,1,15.99,10.65,13.32,16.15,6.98,20.15,13.16,7.93,72.38,0.01,3.62,97.56,101.41,5.76,4.05,96.81,8.07
1990,5,2,16.97,10.08,13.52,17.4,8.82,22.06,13.24,7.69,67.94,0.02,6.13,86.25,101.67,4.63,5.37,84.88,6.47
1990,5,3,17.41,10.81,14.11,17.6,10.31,22.92,12.61,8.12,69.31,0.0,3.26,86.31,101.57,3.05,2.98,84.75,4.09
1990,5,4,17.7,10.61,14.15,17.92,10.46,23.12,12.65,7.93,67.06,0.01,6.33,109.75,101.27,2.4,3.6,107.06,3.45
1990,5,5,17.64,10.35,14.0,18.43,12.55,23.65,11.09,7.87,66.88,0.0,4.41,144.62,101.19,4.5,3.1,142.94,6.17
1990,5,6,17.53,12.87,15.2,17.82,8.24,21.61,13.37,9.22,75.69,4.54,3.97,145.25,101.1,4.85,3.18,143.56,6.8
1990,5,7,17.3,12.92,15.11,17.66,8.2,21.4,13.2,9.22,77.25,8.98,5.17,144.12,101.01,3.05,3.2,141.88,4.48
1990,5,8,16.48,11.83,14.15,17.59,9.47,21.29,11.83,8.61,76.75,1.0,3.38,120.12,101.13,2.73,1.77,120.06,3.6
1990,5,9,18.22,12.34,15.28,18.73,10.55,23.38,12.83,8.91,71.62,0.02,6.41,114.44,101.1,3.1,4.28,110.56,3.98
1990,5,10,20.01,12.99,16.51,20.48,11.63,26.41,14.78,9.28,67.69,1.46,4.15,141.56,100.84,6.01,3.55,139.62,7.98
1990,5,11,17.53,13.83,15.69,17.42,5.08,20.27,15.19,9.89,79.75,5.13,5.44,145.0,100.52,6.01,5.58,144.38,8.18
1990,5,12,18.76,15.65,17.21,18.91,6.89,23.09,16.21,11.11,83.31,5.18,7.91,232.06,100.0,4.03,5.39,232.5,5.69
1990,5,13,18.49,14.83,16.65,19.28,7.71,22.47,14.76,10.44,80.88,1.15,3.58,332.88,100.88,4.5,3.25,333.31,6.27
1990,5,14,18.92,12.99,15.95,19.58,12.8,25.26,12.45,9.28,71.38,0.0,5.43,308.56,101.12,3.77,4.61,310.19,5.12
1990,5,15,19.71,13.4,16.56,20.79,12.8,26.23,13.42,9.58,71.06,0.0,2.56,208.94,101.25,3.08,2.23,195.25,4.15
1990,5,16,18.92,13.11,16.01,19.01,7.86,23.2,15.34,9.4,72.31,0.0,4.97,85.19,101.26,1.87,2.88,70.38,2.46
1990,5,17,20.19,12.8,16.49,20.92,12.35,26.91,14.56,9.22,67.56,0.0,5.87,100.94,101.12,2.38,4.52,100.12,3.05
1990,5,18,22.07,14.14,18.11,22.68,14.99,30.0,15.01,10.01,65.44,0.0,5.48,125.12,100.96,3.05,3.54,122.75,4.07
1990,5,19,22.81,17.17,19.99,23.12,12.65,30.18,17.53,12.15,72.25,0.07,8.39,160.94,101.01,3.35,6.79,162.06,4.86
1990,5,20,23.23,17.56,20.4,23.01,6.43,26.72,20.28,12.45,71.31,0.96,6.16,155.12,100.85,4.73,5.27,154.81,6.99
1990,5,21,22.82,17.94,20.38,22.73,8.31,27.07,18.76,12.82,75.12,14.67,4.94,190.31,100.74,2.98,2.23,189.56,4.62
1990,5,22,21.8,15.95,18.87,22.23,9.88,27.55,17.67,11.35,72.5,2.03,7.55,94.25,100.54,3.97,6.34,93.75,5.46
1990,5,23,22.18,17.36,19.77,22.48,12.84,30.02,17.18,12.39,77.31,0.1,6.7,184.88,100.15,3.11,4.9,185.88,4.47
1990,5,24,21.45,16.5,18.98,22.09,8.58,26.15,17.58,11.72,75.5,0.0,5.12,304.5,100.61,6.52,5.21,304.25,8.72
1990,5,25,21.09,14.51,17.8,22.0,8.8,25.88,17.08,10.38,70.25,0.0,2.29,316.56,101.04,5.49,3.46,317.19,7.39
1990,5,26,20.81,14.44,17.62,21.87,10.95,26.82,15.87,10.31,70.69,0.0,3.2,313.88,101.15,3.34,2.45,315.69,4.55
1990,5,27,21.4,13.73,17.56,22.24,11.59,26.92,15.33,9.77,64.81,0.32,4.9,145.94,101.04,2.76,4.0,146.25,3.51
1990,5,28,20.61,16.4,18.51,21.55,7.03,25.15,18.12,11.6,77.94,10.19,5.92,105.0,100.9,3.01,4.95,102.81,3.83
1990,5,29,19.28,15.29,17.28,20.31,6.95,23.03,16.08,10.74,79.12,15.74,4.21,125.94,101.04,4.84,4.85,125.88,6.39
1990,5,30,18.8,12.61,15.7,19.47,7.83,22.8,14.97,9.03,69.0,0.33,3.95,222.75,101.25,4.87,4.3,222.88,6.48
1990,5,31,19.26,10.85,15.06,20.43,8.48,23.89,15.4,8.06,60.69,0.01,2.31,51.94,101.38,3.69,2.41,51.06,4.7
1990,6,1,20.3,10.12,15.2,21.08,11.89,26.6,14.71,7.69,56.06,0.0,6.06,108.12,101.45,3.52,3.85,105.81,4.65
1990,6,2,22.0,14.2,18.1,22.98,13.95,29.62,15.67,10.07,64.81,0.0,3.73,130.38,100.93,4.48,3.3,128.0,6.11
1990,6,3,22.5,13.56,18.03,23.54,13.77,29.78,16.01,9.77,62.88,0.0,4.56,270.12,100.6,3.3,3.07,271.75,4.61
1990,6,4,23.78,14.71,19.24,24.9,15.65,31.93,16.27,10.44,61.94,0.0,8.15,185.31,100.51,2.95,5.96,179.44,4.02
1990,6,5,25.25,16.46,20.86,25.37,13.12,33.12,19.99,11.72,61.69,0.03,8.95,171.25,100.28,3.3,6.7,170.19,4.48
1990,6,6,21.19,16.92,19.06,21.63,5.82,24.38,18.56,12.08,77.19,3.01,7.09,302.19,100.41,6.85,7.33,302.44,8.89
1990,6,7,20.65,13.84,17.25,21.68,7.22,24.37,17.15,9.83,67.19,0.05,4.57,303.31,100.92,7.9,5.38,303.38,10.12
1990,6,8,22.66,13.77,18.22,24.03,13.38,29.45,16.07,9.89,62.75,0.0,5.43,219.94,100.82,3.28,2.51,207.56,4.63
1990,6,9,25.58,12.62,19.11,26.26,16.3,34.12,17.82,9.22,50.19,0.0,4.62,192.62,100.66,2.7,3.23,182.62,3.76
1990,6,10,23.87,16.05,19.96,25.19,12.12,30.59,18.47,11.41,65.0,0.0,5.48,317.38,100.69,3.85,5.29,318.88,4.88
1990,6,11,22.8,14.71,18.76,23.4,9.8,27.44,17.64,10.44,62.5,0.03,7.23,162.0,100.75,3.23,4.72,160.12,4.46
1990,6,12,22.18,16.23,19.2,22.62,6.09,25.02,18.92,11.47,70.06,0.02,7.73,266.5,100.74,5.23,6.48,251.81,6.77
1990,6,13,21.35,14.05,17.7,22.61,8.52,26.05,17.52,10.01,66.25,0.0,6.16,239.12,101.02,4.98,5.42,239.31,6.29
1990,6,14,22.9,14.4,18.65,22.9,12.19,29.87,17.69,10.25,61.75,1.33,9.58,174.06,100.95,3.93,7.23,173.31,5.15
1990,6,15,23.05,15.95,19.5,23.68,8.77,27.88,19.12,11.35,67.12,0.03,3.55,297.38,101.0,5.69,4.56,297.56,7.8
1990,6,16,22.71,14.67,18.69,23.51,10.09,27.94,17.84,10.44,64.0,0.07,5.19,304.81,101.08,3.15,4.1,290.75,4.34
1990,6,17,25.01,16.6,20.81,25.73,11.09,30.9,19.81,11.78,61.62,0.01,7.32,154.44,100.84,3.02,4.91,148.62,4.01
1990,6,18,26.84,17.55,22.19,27.94,13.13,34.19,21.06,12.45,59.88,0.0,5.78,142.44,100.82,1.8,3.56,136.75,2.54
1990,6,19,27.11,16.58,21.84,27.87,13.01,34.3,21.29,11.9,58.12,0.0,6.76,169.25,100.91,3.36,5.04,167.19,4.48
1990,6,20,28.58,17.36,22.97,28.57,16.02,39.03,23.01,12.45,55.62,0.02,8.77,238.06,100.78,3.76,7.4,237.62,5.48
1990,6,21,24.83,16.98,20.9,26.26,8.69,30.06,21.37,12.08,64.38,0.15,4.38,315.06,100.87,4.39,3.66,316.12,5.52
1990,6,22,25.89,16.27,21.08,27.72,11.47,31.96,20.49,11.66,59.94,0.0,4.47,150.38,100.87,2.82,3.92,149.94,3.59
1990,6,23,26.39,15.64,21.01,27.88,12.01,32.37,20.36,11.11,55.44,0.0,4.84,114.25,101.1,2.75,4.27,113.69,3.38
1990,6,24,26.87,14.76,20.81,28.28,13.79,34.19,20.41,10.62,53.44,0.0,4.52,54.88,101.23,2.44,4.23,54.06,2.94
1990,6,25,26.84,16.44,21.64,28.19,13.31,34.22,20.9,11.72,57.88,0.0,5.95,108.88,101.2,2.92,5.22,107.94,3.42
1990,6,26,25.86,17.69,21.77,27.9,11.89,32.12,20.23,12.76,66.12,0.0,2.51,153.38,101.05,3.09,2.84,153.56,3.81
1990,6,27,27.22,17.01,22.11,28.8,13.65,34.35,20.7,12.33,60.31,0.0,5.16,98.81,100.8,2.53,4.39,94.94,3.12
1990,6,28,27.61,17.56,22.58,29.56,12.49,34.1,21.61,12.57,57.94,0.0,3.04,178.31,100.88,2.36,2.73,181.19,2.91
1990,6,29,28.27,16.83,22.55,29.62,14.11,35.62,21.51,11.96,54.19,0.0,6.88,145.25,101.02,4.98,5.98,142.88,6.34
1990,6,30,30.84,16.63,23.73,31.51,16.69,39.73,23.04,11.84,47.31,0.0,7.86,189.88,100.89,3.04,5.89,167.62,3.91
1990,7,1,30.81,17.37,24.09,31.15,14.88,39.69,24.81,12.51,49.38,0.01,6.89,293.56,100.77,3.07,5.34,282.12,4.05
1990,7,2,26.66,16.55,21.61,28.12,8.27,31.23,22.95,12.02,57.62,0.0,4.77,311.0,100.83,5.62,4.81,311.38,7.13
